field,type,description
id,string,Unique paper identifier (UUID). Referenced by matches.csv paper1_id and paper2_id.
dataset_id,string,"ICLR topic subset: iclr-codegen, iclr-fairness, iclr-llm, iclr-molecules, iclr-optimization, iclr-ot, iclr-pdes, iclr-protein"
title,string,Full paper title from ICLR/OpenReview
decision,string,"ICLR program committee decision: Oral, Spotlight, Poster, Reject, Withdrawn, Desk Rejected"
h1_avg_rating,float,Mean of reviewer scores (h1_avg_rating = mean of scores array)
year,integer,Publication year (2024 or 2025)
scores,JSON array,"Individual reviewer scores as a flat array, e.g. [8.0, 6.0, 6.0, 5.0, 6.0]. ICLR scale: 1, 3, 5, 6, 8, 10. Position i = i-th reviewer (positional label only — same position across papers does NOT mean the same person)."
si_score,float,"Single-item overall quality score (1.0–10.0) generated by Claude Opus 4.6 Thinking. Empty for papers without SI scoring (e.g., iclr-ot)."
si_significance,float,Single-item significance rating (1.0–10.0) from Claude Opus 4.6 Thinking
si_rigor,float,Single-item methodological rigor rating (1.0–10.0) from Claude Opus 4.6 Thinking
si_novelty,float,Single-item novelty rating (1.0–10.0) from Claude Opus 4.6 Thinking
si_clarity,float,Single-item clarity rating (1.0–10.0) from Claude Opus 4.6 Thinking
